bill_num||congress||title||date_intro||area||enacted||vetoed
hjres1||115||Proposing a balanced budget amendment to the Constitution of the United States.||2017-01-03||Economics and Public Finance||No||No
hjres10||115||Authorization of Use of Force Against Iran Resolution||2017-01-03||International Affairs||No||No
hjres100||115||Consolidated Authorization for Use of Military Force Resolution of 2017||2017-04-27||International Affairs||No||No
hjres101||115||Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.||2017-05-18||Congress||No||No
hjres102||115||Relating to the disapproval of the proposed export to the Government of the Kingdom of Saudi Arabia of certain defense articles.||2017-05-25||International Affairs||No||No
hjres103||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Improve Tracking of Workplace Injuries and Illnesses""."||2017-05-25||Labor and Employment||No||No
hjres104||115||To provide limitations on the transfer of air-to-ground munitions from the United States to Saudi Arabia.||2017-05-25||International Affairs||No||No
hjres105||115||Condemning the deadly attack on May 26, 2017, in Portland, Oregon, expressing deepest condolences to the families and friends of the victims, and supporting community efforts to overcome hatred, bigotry, and violence.||2017-06-06||Crime and Law Enforcement||No||No
hjres106||115||Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States.||2017-06-22||Congress||No||No
hjres107||115||Proposing a balanced budget amendment to the Constitution of the United States.||2017-06-29||Economics and Public Finance||No||No
hjres108||115||Making continuing appropriations for fiscal year 2018 during any period between October 1, 2017, and December 14, 2017, for which discretionary appropriations have lapsed, and for other purposes.||2017-07-12||Economics and Public Finance||No||No
hjres109||115||Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the Government.||2017-07-19||Economics and Public Finance||No||No
hjres11||115||Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.||2017-01-03||Environmental Protection||No||No
hjres110||115||Proposing a balanced budget amendment to the Constitution of the United States.||2017-07-19||Economics and Public Finance||No||No
hjres111||115||"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by Bureau of Consumer Financial Protection relating to ""Arbitration Agreements""."||2017-07-20||Finance and Financial Sector||Yes||No
hjres112||115||Authorization for Use of Military Force Against Islamist Extremism||2017-07-20||International Affairs||No||No
hjres113||115||Proposing an amendment to the Constitution of the United States relating to the authority of Congress and the States to regulate contributions and expenditures in political campaigns and to enact public financing systems for such campaigns.||2017-07-20||Government Operations and Politics||No||No
hjres114||115||Proposing an amendment to the Constitution of the United States which requires (except during time of war and subject to suspension by Congress) that the total amount of money expended by the United States during any fiscal year not exceed the amount of certain revenue received by the United States during such fiscal year and not exceed 20 percent of the gross domestic product of the United States during the previous calendar year.||2017-07-27||Economics and Public Finance||No||No
hjres115||115||Proposing an amendment to the Constitution of the United States to clarify the presidential pardoning power.||2017-07-27||Crime and Law Enforcement||No||No
