member_id||firstName||middleName||lastName||birthday||gender
B001269||Lou||||Barletta||1956-01-28||M
B000213||Joe||L.||Barton||1949-09-15||M
B000287||Xavier||||Becerra||1958-01-26||M
B001293||Mike||||Bishop||1967-03-18||M
B001273||Diane||||Black||1951-01-16||F
B001294||Rod||||Blum||1955-04-26||M
B001245||Madeleine||Z.||Bordallo||1933-05-31||F
B001227||Robert||A.||Brady||1945-04-07||M
B001290||David||A.||Brat||1964-07-27||M
B001283||Jim||||Bridenstine||1975-06-15||M
C001037||Michael||E.||Capuano||1952-01-09||M
C001076||Jason||||Chaffetz||1967-03-26||M
C001077||Mike||||Coffman||1955-03-19||M
C001105||Barbara||||Comstock||1959-06-30||F
C000714||John||||Conyers||1929-05-16||M
C001106||Ryan||||Costello||1976-09-07||M
C001038||Joseph||||Crowley||1962-03-16||M
C001048||John||||Culberson||1956-08-24||M
C001107||Carlos||||Curbelo||1980-03-01||M
D000620||John||||Delaney||1963-04-16||M
D000612||Jeffrey||||Denham||1967-07-29||M
D000604||Charlie||||Dent||1960-05-24||M
D000621||Ron||||DeSantis||1978-09-14||M
D000625||Daniel||M.||Donovan||1956-11-06||M
D000533||John||J.||Duncan||1947-07-21||M
E000288||Keith||||Ellison||1963-08-04||M
E000293||Elizabeth||||Esty||1959-08-25||F
F000460||Blake||||Farenthold||1961-12-12||M
F000464||John||||Faso||1952-08-25||M
F000448||Trent||||Franks||1957-06-19||M
F000372||Rodney||||Frelinghuysen||1946-04-29||M
G000580||Thomas||||Garrett||1972-03-27||M
G000289||Robert||W.||Goodlatte||1952-09-22||M
G000566||Trey||||Gowdy||1964-08-22||M
G000410||Gene||||Green||1947-10-17||M
G000535||Luis||V.||Gutiérrez||1953-12-10||M
H001050||Colleen||||Hanabusa||1951-05-04||F
H001078||Karen||||Handel||1962-04-18||F
H001045||Gregg||||Harper||1956-06-01||M
H001036||Jeb||||Hensarling||1957-05-29||M
H001059||Randy||||Hultgren||1966-03-01||M
I000056||Darrell||||Issa||1953-11-01||M
J000297||Evan||||Jenkins||1960-09-12||M
J000290||Lynn||||Jenkins||1963-06-10||F
J000174||Sam||||Johnson||1930-10-11||M
J000303||Brenda||||Jones||1959-10-24||F
K000390||Ruben||||Kihuen||1980-04-25||M
K000387||Steve||||Knight||1966-12-17||M
L000573||Raúl||||Labrador||1967-12-08||M
L000567||Leonard||||Lance||1952-06-25||M
L000263||Sander||M.||Levin||1931-09-06||M
L000587||Jason||||Lewis||1955-09-23||M
L000554||Frank||A.||LoBiondo||1946-05-12||M
L000584||Mia||||Love||1975-12-06||F
L000580||Michelle||||Lujan Grisham||1959-10-24||F
M001193||Tom||||MacArthur||1960-10-16||M
M001181||Pat||||Meehan||1955-10-20||M
M001189||Luke||||Messer||1969-02-27||M
M001182||Mick||||Mulvaney||1967-07-21||M
M001151||Tim||||Murphy||1952-09-11||M
N000184||Kristi||||Noem||1971-11-30||F
N000127||Rick||||Nolan||1943-12-17||M
O000170||Beto||||O'Rourke||1972-09-26||M
P000594||Erik||||Paulsen||1965-05-14||M
P000588||Steve||||Pearce||1947-08-24||M
P000606||Robert||||Pittenger||1948-08-15||M
P000592||Ted||||Poe||1948-09-10||M
P000611||Bruce||||Poliquin||1953-11-01||M
P000598||Jared||||Polis||1975-05-12||M
P000602||Mike||||Pompeo||1963-12-30||M
P000591||Tom||||Price||1954-10-08||M
R000578||Dave||||Reichert||1950-08-29||M
R000586||Jim||||Renacci||1958-12-03||M
R000409||Dana||||Rohrabacher||1947-06-21||M
R000592||Todd||||Rokita||1970-02-09||M
R000583||Tom||||Rooney||1970-11-21||M
R000435||Ileana||||Ros-Lehtinen||1952-07-15||F
R000580||Peter||||Roskam||1961-09-13||M
R000593||Dennis||||Ross||1959-10-18||M
R000598||Keith||||Rothfus||1962-04-25||M
R000487||Edward||||Royce||1951-10-12||M
R000604||Steve||||Russell||1963-05-25||M
R000570||Paul||D.||Ryan||1970-01-29||M
