member_id||congress||chamber||party||state||district
A000374||115||house||R||LA||5
A000370||115||house||D||NC||12
A000055||115||house||R||AL||4
A000371||115||house||D||CA||31
A000372||115||house||R||GA||12
A000367||115||house||R||MI||3
A000369||115||house||R||NV||2
A000375||115||house||R||TX||19
B001291||115||house||R||TX||36
B001298||115||house||R||NE||2
B001306||115||house||R||OH||12
B001299||115||house||R||IN||3
B001269||115||house||R||PA||11
B001282||115||house||R||KY||6
B001300||115||house||D||CA||44
B000213||115||house||R||TX||6
B001270||115||house||D||CA||37
B001281||115||house||D||OH||3
B000287||115||house||D||CA||34
B001287||115||house||D||CA||7
B001301||115||house||R||MI||1
B001292||115||house||D||VA||8
B001302||115||house||R||AZ||5
B001257||115||house||R||FL||12
B001293||115||house||R||MI||8
B001250||115||house||R||UT||1
B000490||115||house||D||GA||2
B001273||115||house||R||TN||6
B001243||115||house||R||TN||7
B001294||115||house||R||IA||1
B000574||115||house||D||OR||3
B001303||115||house||D||DE||At-Large
B001278||115||house||D||OR||1
B001245||115||house||D||GU||At-Large
B001295||115||house||R||IL||12
B001296||115||house||D||PA||13
B000755||115||house||R||TX||8
B001227||115||house||D||PA||1
B001290||115||house||R||VA||7
B001283||115||house||R||OK||1
B001284||115||house||R||IN||5
B001274||115||house||R||AL||5
B001304||115||house||D||MD||4
B001285||115||house||D||CA||26
B001260||115||house||R||FL||16
B001297||115||house||R||CO||4
B001275||115||house||R||IN||8
B001305||115||house||R||NC||13
B001248||115||house||R||TX||26
B001286||115||house||D||IL||17
B001251||115||house||D||NC||1
B001289||115||house||R||AL||1
C000059||115||house||R||CA||42
C001037||115||house||D||MA||7
C001112||115||house||D||CA||24
C001097||115||house||D||CA||29
C001072||115||house||D||IN||7
C001051||115||house||R||TX||31
C001103||115||house||R||GA||1
C001090||115||house||D||PA||17
C001066||115||house||D||FL||14
C001091||115||house||D||TX||20
C000266||115||house||R||OH||1
C001076||115||house||R||UT||3
C001109||115||house||R||WY||At-Large
C001080||115||house||D||CA||27
C001084||115||house||D||RI||1
C001101||115||house||D||MA||5
C001067||115||house||D||NY||9
C001049||115||house||D||MO||1
C001061||115||house||D||MO||5
C001115||115||house||R||TX||27
C000537||115||house||D||SC||6
C001077||115||house||R||CO||6
C001068||115||house||D||TN||9
C001053||115||house||R||OK||4
C001092||115||house||R||NY||27
C001093||115||house||R||GA||9
C001108||115||house||R||KY||1
C001105||115||house||R||VA||10
C001062||115||house||R||TX||11
C001078||115||house||D||VA||11
C000714||115||house||D||MI||13
C001094||115||house||R||CA||8
C000754||115||house||D||TN||5
C001110||115||house||D||CA||46
C001059||115||house||D||CA||16
C001106||115||house||R||PA||6
C001069||115||house||D||CT||2
C001096||115||house||R||ND||At-Large
C001087||115||house||R||AR||1
C001111||115||house||D||FL||13
C001038||115||house||D||NY||14
C001063||115||house||D||TX||28
C001048||115||house||R||TX||7
C000984||115||house||D||MD||7
C001107||115||house||R||FL||26
C001114||115||house||R||UT||3
D000626||115||house||R||OH||8
D000096||115||house||D||IL||7
D000619||115||house||R||IL||13
D000598||115||house||D||CA||53
D000191||115||house||D||OR||4
D000197||115||house||D||CO||1
D000620||115||house||D||MD||6
D000216||115||house||D||CT||3
D000617||115||house||D||WA||1
D000627||115||house||D||FL||10
D000612||115||house||R||CA||10
D000604||115||house||R||PA||15
D000621||115||house||R||FL||6
D000623||115||house||D||CA||11
D000616||115||house||R||TN||4
D000610||115||house||D||FL||22
D000600||115||house||R||FL||25
D000624||115||house||D||MI||12
D000399||115||house||D||TX||35
D000625||115||house||R||NY||11
D000482||115||house||D||PA||14
D000614||115||house||R||WI||7
D000615||115||house||R||SC||3
D000533||115||house||R||TN||2
D000628||115||house||R||FL||2
E000288||115||house||D||MN||5
E000294||115||house||R||MN||6
E000179||115||house||D||NY||16
E000215||115||house||D||CA||18
E000297||115||house||D||NY||13
E000298||115||house||R||KS||4
E000293||115||house||D||CT||5
E000296||115||house||D||PA||2
F000460||115||house||R||TX||27
F000464||115||house||R||NY||19
F000465||115||house||R||GA||3
F000466||115||house||R||PA||8
F000459||115||house||R||TN||3
F000461||115||house||R||TX||17
F000449||115||house||R||NE||1
F000454||115||house||D||IL||11
F000450||115||house||R||NC||5
F000462||115||house||D||FL||21
F000448||115||house||R||AZ||8
F000372||115||house||R||NJ||11
F000455||115||house||D||OH||11
G000571||115||house||D||HI||2
G000578||115||house||R||FL||1
G000579||115||house||R||WI||8
G000574||115||house||D||AZ||7
G000559||115||house||D||CA||3
G000580||115||house||R||VA||5
G000584||115||house||R||MT||At-Large
G000563||115||house||R||OH||7
G000552||115||house||R||TX||1
G000585||115||house||D||CA||34
G000581||115||house||D||TX||15
G000582||115||house||R||PR||At-Large
G000289||115||house||R||VA||6
G000565||115||house||R||AZ||4
G000583||115||house||D||NJ||5
G000566||115||house||R||SC||4
G000377||115||house||R||TX||12
G000577||115||house||R||LA||6
G000546||115||house||R||MO||6
G000560||115||house||R||GA||14
G000410||115||house||D||TX||29
G000553||115||house||D||TX||9
G000568||115||house||R||VA||9
G000551||115||house||D||AZ||3
G000576||115||house||R||WI||6
G000558||115||house||R||KY||2
G000535||115||house||D||IL||4
H001050||115||house||D||HI||1
H001078||115||house||R||GA||6
H001045||115||house||R||MS||3
H001052||115||house||R||MD||1
H001053||115||house||R||MO||4
H000324||115||house||D||FL||20
H001064||115||house||D||WA||10
H001036||115||house||R||TX||5
H001082||115||house||R||OK||1
H001056||115||house||R||WA||3
H001071||115||house||R||GA||10
H001038||115||house||D||NY||26
H001077||115||house||R||LA||3
H001072||115||house||R||AR||2
H001047||115||house||D||CT||4
H001065||115||house||R||NC||2
H001074||115||house||R||IN||9
H000874||115||house||D||MD||5
H001067||115||house||R||NC||8
H001068||115||house||D||CA||2
H001058||115||house||R||MI||2
H001059||115||house||R||IL||14
H001048||115||house||R||CA||50
H001073||115||house||R||TX||23
I000056||115||house||R||CA||49
J000032||115||house||D||TX||18
J000298||115||house||D||WA||7
J000294||115||house||D||NY||8
