member_id||bill_num||congress
G000289||hjres1||115
H000324||hjres10||115
S001150||hjres100||115
A000375||hjres101||115
A000367||hjres102||115
G000563||hjres103||115
L000582||hjres104||115
B000574||hjres105||115
D000626||hjres106||115
M001202||hjres107||115
G000574||hjres108||115
D000191||hjres109||115
J000297||hjres11||115
S001187||hjres110||115
R000598||hjres111||115
P000605||hjres112||115
S001150||hjres113||115
R000591||hjres114||115
G000553||hjres115||115
M001200||hjres116||115
G000580||hjres117||115
C001077||hjres118||115
B001290||hjres119||115
M001177||hjres12||115
C001068||hjres120||115
H001059||hjres121||115
R000593||hjres122||115
F000372||hjres123||115
F000372||hjres124||115
F000372||hjres125||115
Y000062||hjres126||115
C001077||hjres127||115
F000372||hjres128||115
D000482||hjres129||115
O000170||hjres13||115
B001305||hjres130||115
D000482||hjres131||115
Z000017||hjres132||115
J000174||hjres133||115
A000375||hjres134||115
Z000017||hjres135||115
K000009||hjres136||115
B001245||hjres137||115
M001188||hjres138||115
K000009||hjres139||115
B001289||hjres14||115
C001066||hjres140||115
M001166||hjres141||115
A000367||hjres142||115
F000372||hjres143||115
M001200||hjres144||115
P000523||hjres145||115
N000190||hjres146||115
A000367||hjres15||115
L000564||hjres16||115
P000601||hjres17||115
P000605||hjres18||115
C001068||hjres19||115
G000289||hjres2||115
D000614||hjres20||115
P000601||hjres21||115
P000605||hjres22||115
H001074||hjres23||115
M001179||hjres24||115
M001179||hjres25||115
K000009||hjres26||115
W000815||hjres27||115
E000179||hjres28||115
L000583||hjres29||115
R000582||hjres3||115
K000362||hjres30||115
D000610||hjres31||115
B001250||hjres32||115
M000087||hjres33||115
Y000033||hjres34||115
Y000033||hjres35||115
B001250||hjres36||115
F000450||hjres37||115
J000292||hjres38||115
M001189||hjres39||115
B001283||hjres4||115
J000174||hjres40||115
H001058||hjres41||115
B000755||hjres42||115
B001273||hjres43||115
C001109||hjres44||115
C001096||hjres45||115
G000565||hjres46||115
Y000033||hjres47||115
N000127||hjres48||115
Y000033||hjres49||115
B001260||hjres5||115
L000573||hjres50||115
R000582||hjres51||115
N000189||hjres52||115
S001175||hjres53||115
R000592||hjres54||115
S001192||hjres55||115
P000588||hjres56||115
R000592||hjres57||115
G000558||hjres58||115
M001190||hjres59||115
D000621||hjres6||115
N000189||hjres60||115
W000809||hjres61||115
G000560||hjres62||115
K000378||hjres63||115
S001180||hjres64||115
G000410||hjres65||115
W000798||hjres66||115
R000607||hjres67||115
C001096||hjres68||115
Y000033||hjres69||115
F000466||hjres7||115
Y000033||hjres70||115
T000470||hjres71||115
B001305||hjres72||115
W000816||hjres73||115
P000607||hjres74||115
D000191||hjres75||115
H000874||hjres76||115
D000628||hjres77||115
J000174||hjres78||115
J000174||hjres79||115
F000466||hjres8||115
J000174||hjres80||115
M001143||hjres81||115
W000821||hjres82||115
B001289||hjres83||115
L000587||hjres84||115
G000579||hjres85||115
B001243||hjres86||115
C001076||hjres87||115
M000312||hjres88||115
B001299||hjres89||115
F000466||hjres9||115
S001170||hjres90||115
P000610||hjres91||115
C001105||hjres92||115
F000448||hjres93||115
K000362||hjres94||115
J000032||hjres95||115
Y000033||hjres96||115
Y000033||hjres97||115
R000601||hjres98||115
F000372||hjres99||115
B000755||hr1||115
H001036||hr10||115
B001285||hr100||115
C000714||hr1000||115
