member_id||firstName||middleName||lastName||birthday||gender
S000033||Bernard||||Sanders||1941-09-08||M
W000817||Elizabeth||||Warren||1949-06-22||F
M000355||Mitch||||McConnell||1942-02-20||M
A000367||Justin||||Amash||1980-04-18||M
O000172||Alexandria||||Ocasio-Cortez||1989-10-13||F
C001109||Liz||||Cheney||1966-07-28||F
W000187||Maxine||||Waters||1938-08-15||F
C001038||Joseph||||Crowley||1962-03-16||M
B001243||Marsha||||Blackburn||1952-06-06||F
G000590||Mark||||Green||1964-11-08||M
E000179||Eliot||L.||Engel||1947-02-18||M
Y000033||Don||||Young||1933-06-09||M
